Date,Close Price,Open Price,High Price,Low Price,Total Traded Quantity
23-May-19,195.49,194.34,199.47,186.22,26.55M
22-May-19,192.73,199.1,203.94,191.78,18.69M
21-May-19,205.08,197.76,207.4,196.04,18.00M
20-May-19,205.36,202.8,206,195.25,20.53M
17-May-19,211.03,221.96,222.24,208.92,17.79M
16-May-19,228.33,229.49,231,226.5,7.48M
15-May-19,231.95,229.32,232.44,225.25,7.30M
14-May-19,232.31,229.3,234.5,228,7.25M
13-May-19,227.01,232.01,232.47,224.5,10.83M
10-May-19,239.52,239.75,241.99,236.02,7.01M
09-May-19,241.98,242,243.68,236.94,6.71M
08-May-19,244.84,246.94,250.6,244.2,6.18M
07-May-19,247.06,256.8,257.21,245.1,10.13M
06-May-19,255.34,250.02,258.35,248.5,10.83M
03-May-19,255.03,243.86,256.61,243.49,23.71M
02-May-19,244.1,245.52,247.13,237.72,18.16M
01-May-19,234.01,238.85,240,231.5,10.70M
30-Apr-19,238.69,242.06,244.21,237,9.46M
29-Apr-19,241.47,235.86,243.98,232.17,16.71M
26-Apr-19,235.14,246.5,246.68,231.13,22.36M
25-Apr-19,247.63,255,259,246.07,21.85M
24-Apr-19,258.66,263.85,265.32,258,10.73M
23-Apr-19,263.9,260.15,265.6,255.75,10.94M
22-Apr-19,262.75,269,269.68,262.48,12.15M
18-Apr-19,273.26,271.23,274.84,269.75,5.88M
17-Apr-19,271.23,274.75,274.79,268.54,5.13M
16-Apr-19,273.36,265.75,275,264.72,7.27M
15-Apr-19,266.38,268.63,268.88,258.63,10.04M
12-Apr-19,267.7,270.22,271.95,266.83,6.75M
11-Apr-19,268.42,268.3,270.5,265.6,9.84M
10-Apr-19,276.06,276.74,278.38,272.89,7.06M
09-Apr-19,272.31,271.65,275,269.61,5.90M
08-Apr-19,273.2,277.69,281.16,270.44,10.41M
05-Apr-19,274.96,269.86,276.1,266.11,13.04M
04-Apr-19,267.78,261.89,271.2,260.59,23.72M
03-Apr-19,291.81,287.32,296.17,287.17,7.93M
02-Apr-19,285.88,288.3,289.44,283.88,5.48M
01-Apr-19,289.18,282.62,289.2,281.28,8.11M
29-Mar-19,279.86,278.7,280.16,274.5,5.99M
28-Mar-19,278.62,277.16,280.33,275.1,6.77M
27-Mar-19,274.83,268.75,275.37,268.18,8.78M
26-Mar-19,267.77,264.44,270.26,264.43,7.35M
25-Mar-19,260.42,259.71,263.18,254.46,10.22M
22-Mar-19,264.53,272.58,272.8,264,8.75M
21-Mar-19,274.02,272.6,276.45,268.45,5.95M
20-Mar-19,273.6,269.69,274.97,266.3,6.91M
19-Mar-19,267.47,267.5,273.3,263.46,11.80M
18-Mar-19,269.49,276,278.05,267.3,10.28M
15-Mar-19,275.43,283.51,283.72,274.4,14.79M
14-Mar-19,289.96,292.45,295.39,288.29,7.10M
13-Mar-19,288.96,283.9,291.99,282.7,6.84M
12-Mar-19,283.36,286.49,288.07,281.06,7.50M
11-Mar-19,290.92,283.52,291.28,280.5,7.39M
08-Mar-19,284.14,276.91,285.59,275.89,8.82M
07-Mar-19,276.59,278.84,284.7,274.25,9.44M
06-Mar-19,276.24,276.48,281.51,274.39,10.34M
05-Mar-19,276.54,282,284,270.1,18.76M
04-Mar-19,285.36,298.12,299,282.78,17.10M
01-Mar-19,294.79,306.94,307.13,291.9,22.91M
28-Feb-19,319.88,318.92,320,310.81,10.52M
27-Feb-19,314.74,301.78,316.3,300.55,11.18M
26-Feb-19,297.86,292.22,302.01,288.77,8.58M
25-Feb-19,298.77,297.91,302.9,297,6.63M
22-Feb-19,294.71,294.49,296.5,292.1,5.74M
21-Feb-19,291.23,301.81,303.24,290.5,8.91M
20-Feb-19,302.56,304.41,306.3,299,7.14M
19-Feb-19,305.64,306.56,311.54,305.47,4.17M
15-Feb-19,307.88,304.5,308,303.9,3.90M
14-Feb-19,303.77,303.38,306.77,301,5.20M
13-Feb-19,308.17,312.35,312.75,305.57,5.14M
12-Feb-19,311.81,316.2,318.19,309.62,5.52M
11-Feb-19,312.84,311.6,318.6,310.5,7.13M
08-Feb-19,305.8,306.83,307.44,298.5,5.84M
07-Feb-19,307.51,313.3,314.7,303,6.52M
06-Feb-19,317.22,319.59,324.24,315.62,5.04M
05-Feb-19,321.35,312.49,322.44,312.25,6.74M
04-Feb-19,312.89,312.98,315.3,301.88,7.35M
01-Feb-19,312.21,305.42,316.1,303.5,7.28M
31-Jan-19,307.02,301,311.56,294,12.57M
30-Jan-19,308.77,300.45,309,298.49,11.25M
29-Jan-19,297.46,295.27,298.56,291.8,4.62M
28-Jan-19,296.38,292.91,297.46,287.75,6.42M
25-Jan-19,297.04,294.39,298.52,289.55,7.26M
24-Jan-19,291.51,283.03,293.68,279.28,8.01M
23-Jan-19,287.59,292.5,294.5,281.69,12.53M
22-Jan-19,298.92,304.82,308,295.5,12.07M
18-Jan-19,302.26,323,327.13,299.73,24.15M
17-Jan-19,347.31,346.21,351.5,344.15,3.68M
16-Jan-19,346.05,344.78,352,343.5,4.69M
15-Jan-19,344.43,335,348.8,334.5,6.06M
14-Jan-19,334.4,342.38,342.5,334,5.25M
11-Jan-19,347.26,342.09,348.41,338.77,5.04M
10-Jan-19,344.97,334.4,345.39,331.79,6.06M
09-Jan-19,338.53,335.5,343.5,331.47,5.43M
08-Jan-19,335.35,341.96,344.01,327.02,7.01M
07-Jan-19,334.96,321.72,336.74,317.75,7.55M
04-Jan-19,317.69,306,318,302.73,7.39M
03-Jan-19,300.36,307,309.4,297.38,6.97M
02-Jan-19,310.12,306.1,315.13,298.8,11.66M
31-Dec-18,332.8,337.79,339.21,325.26,6.30M
28-Dec-18,333.87,323.1,336.24,318.41,9.94M
27-Dec-18,316.13,319.84,322.17,301.5,8.58M
26-Dec-18,326.09,300,326.97,294.09,8.16M
24-Dec-18,295.39,313.5,314.5,295.19,5.56M
21-Dec-18,319.77,317.4,323.47,312.44,8.02M
20-Dec-18,315.38,327.05,330.29,311.87,9.07M
19-Dec-18,332.97,337.6,347.01,329.74,8.27M
18-Dec-18,337.03,350.54,351.55,333.69,7.10M
17-Dec-18,348.42,362,365.7,343.88,7.67M
14-Dec-18,365.71,375,377.87,364.33,6.34M
13-Dec-18,376.79,370.15,377.44,366.75,7.37M
12-Dec-18,366.6,369.42,371.91,365.16,5.03M
11-Dec-18,366.76,369.91,372.17,360.23,6.31M
10-Dec-18,365.15,360,365.98,353.12,6.61M
07-Dec-18,357.96,369,379.49,357.65,11.51M
06-Dec-18,363.06,356.01,367.38,350.76,7.84M
04-Dec-18,359.7,356.05,368.68,352,8.46M
03-Dec-18,358.49,360,366,352,8.31M
30-Nov-18,350.48,341.83,351.6,338.26,5.63M
29-Nov-18,341.17,347,347.5,339.55,3.08M
28-Nov-18,347.87,345.99,348.28,342.21,4.13M
27-Nov-18,343.92,340.05,346.96,335.5,6.36M
26-Nov-18,346,325,346.22,325,7.99M
23-Nov-18,325.83,334.35,337.5,325.55,4.20M
21-Nov-18,338.19,352,353.1,337.4,4.69M
20-Nov-18,347.49,341.75,349.8,333.55,8.00M
19-Nov-18,353.47,356.34,366.75,352.88,9.71M
16-Nov-18,354.31,345.19,355.7,345.12,7.21M
15-Nov-18,348.44,342.33,348.58,339.04,4.63M
14-Nov-18,344,342.7,347.11,337.15,5.04M
13-Nov-18,338.73,333.16,344.7,332.2,5.45M
12-Nov-18,331.28,348.37,349.78,330.34,6.94M
09-Nov-18,350.51,349,354,345.23,5.10M
08-Nov-18,351.4,348.5,357.58,348.44,7.09M
07-Nov-18,348.16,343.34,351.18,340.8,7.37M
06-Nov-18,341.06,339.07,348.8,336.09,6.76M
05-Nov-18,341.4,340.5,343.95,330.14,7.83M
02-Nov-18,346.41,343.74,349.2,340.91,7.81M
01-Nov-18,344.28,338.26,347.84,334.73,8.00M
31-Oct-18,337.32,332.54,342,329.1,7.62M
30-Oct-18,329.9,328.39,337.9,322.26,9.13M
29-Oct-18,334.85,337.47,347.16,326.5,14.49M
26-Oct-18,330.9,308.25,339.9,306.65,27.43M
25-Oct-18,314.86,317.22,321,301.01,20.84M
24-Oct-18,288.5,301.05,304.44,285.73,20.06M
23-Oct-18,294.14,263.87,297.93,262.1,19.03M
22-Oct-18,260.95,260.68,261.86,252.59,5.60M
19-Oct-18,260,267.39,269.66,253.5,9.38M
18-Oct-18,263.91,269.29,271,263,5.42M
17-Oct-18,271.78,282.4,282.7,265.8,8.66M
16-Oct-18,276.59,265.7,277.38,262.24,9.53M
15-Oct-18,259.59,259.06,263.28,254.54,6.20M
12-Oct-18,258.78,261,261.99,252.01,7.20M
11-Oct-18,252.23,257.53,262.25,249.03,8.17M
10-Oct-18,256.88,264.61,265.51,247.77,12.82M
09-Oct-18,262.8,255.25,266.77,253.3,12.06M
08-Oct-18,250.56,264.52,267.76,249,13.47M
05-Oct-18,261.95,274.65,274.88,260,17.94M
04-Oct-18,281.83,293.95,294,277.67,9.81M
03-Oct-18,294.8,303.33,304.6,291.57,7.99M
02-Oct-18,301.02,313.95,316.84,299.15,11.74M
01-Oct-18,310.7,305.77,311.44,301.05,21.78M
28-Sep-18,264.77,270.26,278,260.56,33.65M
27-Sep-18,307.52,312.9,314.96,306.91,8.51M
26-Sep-18,309.58,301.91,313.89,301.11,7.84M
25-Sep-18,300.99,300,304.6,296.5,4.48M
24-Sep-18,299.68,298.48,303,293.58,4.84M
21-Sep-18,299.1,297.7,300.58,295.37,5.05M
20-Sep-18,298.33,303.56,305.98,293.33,7.35M
19-Sep-18,299.02,280.51,300,280.5,8.29M
18-Sep-18,284.96,296.69,302.64,275.5,16.55M
17-Sep-18,294.84,290.04,300.87,288.13,6.89M
14-Sep-18,295.2,288.76,297.33,286.52,6.77M
13-Sep-18,289.46,288.02,295,285.18,6.34M
12-Sep-18,290.54,281.44,292.5,278.65,10.02M
11-Sep-18,279.44,279.47,282,273.55,9.17M
10-Sep-18,285.5,273.26,286.03,271,14.28M
07-Sep-18,263.24,260.1,268.35,252.25,22.49M
06-Sep-18,280.95,284.8,291.17,278.88,7.48M
05-Sep-18,280.74,285.05,286.78,277.18,7.72M
04-Sep-18,288.95,296.94,298.19,288,8.35M
31-Aug-18,301.66,302,305.31,298.6,5.38M
30-Aug-18,303.15,302.26,304.6,297.72,7.22M
29-Aug-18,305.01,310.27,311.85,303.69,7.45M
28-Aug-18,311.86,318.41,318.88,311.19,7.65M
27-Aug-18,319.27,318,322.44,308.81,13.08M
24-Aug-18,322.82,320.7,323.85,319.4,3.60M
23-Aug-18,320.1,319.14,327.32,318.1,5.15M
22-Aug-18,321.64,320.87,323.88,314.67,5.95M
21-Aug-18,321.9,310.61,324.79,309,13.17M
20-Aug-18,308.44,291.7,308.5,288.2,17.40M
17-Aug-18,305.5,323.5,326.77,303.53,18.96M
16-Aug-18,335.45,339.91,342.28,333.82,6.06M
15-Aug-18,338.69,341.91,344.49,332.14,9.10M
14-Aug-18,347.64,358.45,359.2,347.1,6.99M
13-Aug-18,356.41,361.13,363.19,349.02,10.46M
10-Aug-18,355.49,354,360,346,11.55M
09-Aug-18,352.45,365.55,367.01,345.73,17.18M
08-Aug-18,370.34,369.09,382.64,367.12,24.57M
07-Aug-18,379.57,343.84,387.46,339.15,30.88M
06-Aug-18,341.99,345.46,354.98,341.82,8.56M
03-Aug-18,348.17,347.81,355,342.53,13.66M
02-Aug-18,349.54,328.44,349.99,323.16,23.21M
01-Aug-18,300.84,297.99,303,293,10.13M
31-Jul-18,298.14,292.25,298.32,289.07,5.08M
30-Jul-18,290.17,295.9,296.1,286.13,6.81M
27-Jul-18,297.18,307.25,307.69,295.34,5.70M
26-Jul-18,306.65,304.85,310.7,303.64,4.63M
25-Jul-18,308.74,296.74,309.62,294.5,7.09M
24-Jul-18,297.43,304.42,307.72,292.55,9.59M
23-Jul-18,303.2,301.84,305.5,292.86,10.99M
20-Jul-18,313.58,321.23,323.24,311.71,5.17M
19-Jul-18,320.23,316.33,323.54,314.01,5.92M
18-Jul-18,323.85,325,325.5,316.25,5.62M
17-Jul-18,322.69,308.81,324.74,308.5,7.00M
16-Jul-18,310.1,311.71,315.16,306.25,7.82M
13-Jul-18,318.87,315.58,319.58,309.25,5.88M
12-Jul-18,316.71,321.43,323.23,312.77,5.72M
11-Jul-18,318.96,315.8,321.94,315.07,4.88M
10-Jul-18,322.47,324.56,327.68,319.2,9.47M
09-Jul-18,318.51,311.99,318.52,308,7.60M
06-Jul-18,308.9,304.95,312.07,302,8.87M
05-Jul-18,309.16,313.76,314.39,296.22,17.48M
03-Jul-18,310.86,331.75,332.49,309.69,12.28M
02-Jul-18,335.07,360.07,364.78,329.85,18.76M
29-Jun-18,342.95,353.33,353.86,342.41,6.49M
28-Jun-18,349.93,348.66,357.02,346.11,8.40M
27-Jun-18,344.5,345,350.79,339.5,8.33M
26-Jun-18,342,336.05,343.55,325.8,7.45M
25-Jun-18,333.01,330.12,338.47,327.5,6.93M
22-Jun-18,333.63,351.54,352.25,332,10.27M
21-Jun-18,347.51,362,366.21,346.27,7.97M
20-Jun-18,362.22,358.04,364.38,352,8.38M
19-Jun-18,352.55,365.16,370,346.25,12.76M
18-Jun-18,370.83,355.4,373.73,354.5,12.07M
15-Jun-18,358.17,353.84,364.67,351.25,10.85M
14-Jun-18,357.72,347.63,358.75,346.6,10.98M
13-Jun-18,344.78,346.71,347.2,339.8,9.47M
12-Jun-18,342.77,344.7,354.97,338,22.35M
11-Jun-18,332.1,322.51,334.66,322.5,13.18M
08-Jun-18,317.66,319,324.48,317.15,8.21M
07-Jun-18,316.09,316.15,330,313.58,14.35M
06-Jun-18,319.5,300.5,322.17,297.48,18.77M
05-Jun-18,291.13,297.7,297.8,286.74,6.00M
04-Jun-18,296.74,294.34,299,293.55,4.80M
01-Jun-18,291.82,285.86,291.95,283.84,5.42M
31-May-18,284.73,287.21,290.37,282.93,5.92M
30-May-18,291.72,283.29,295,281.6,7.49M
29-May-18,283.76,278.51,286.5,276.15,5.67M
25-May-18,278.85,277.63,279.64,275.61,3.88M
24-May-18,277.85,278.4,281.11,274.89,4.18M
23-May-18,279.07,277.76,279.91,274,5.99M
22-May-18,275.01,287.76,288,273.42,8.95M
21-May-18,284.49,281.33,291.49,281.3,9.18M
18-May-18,276.82,284.65,284.65,274,7.25M
17-May-18,284.54,285.9,289.19,283.97,4.42M
16-May-18,286.48,283.83,288.81,281.56,5.67M
15-May-18,284.18,285.01,286.96,280.5,9.52M
14-May-18,291.97,303.32,304.94,291.62,7.29M
11-May-18,301.06,307.7,308.88,299.08,4.68M
10-May-18,305.02,307.5,312.99,304.11,5.65M
09-May-18,306.85,300.41,307.01,300.05,5.73M
08-May-18,301.97,300.8,307.75,299,5.93M
07-May-18,302.77,297.5,305.96,295.17,8.68M
04-May-18,294.09,283,296.86,279.52,8.57M
03-May-18,284.45,278.79,288.04,275.23,17.35M
02-May-18,301.15,298.57,306.85,297.78,8.97M
01-May-18,299.92,293.51,300.82,293.22,4.63M
30-Apr-18,293.9,293.61,298.73,292.5,4.23M
27-Apr-18,294.07,285.37,294.47,283.83,4.36M
26-Apr-18,285.48,278.75,285.79,276.5,4.36M
25-Apr-18,280.69,283.5,285.16,277.25,4.01M
24-Apr-18,283.46,285,287.09,278.46,5.69M
23-Apr-18,283.37,291.29,291.62,282.33,4.89M
20-Apr-18,290.24,295.17,299.98,289.75,5.63M
19-Apr-18,300.08,291.08,301.01,288.55,6.09M
18-Apr-18,293.35,291.08,300.24,288.16,6.56M
17-Apr-18,287.69,288.87,292.17,282.51,7.00M
16-Apr-18,291.21,299,299.66,289.01,6.34M
13-Apr-18,300.34,303.6,303.95,295.98,7.33M
12-Apr-18,294.08,302.32,303.95,293.68,7.61M
11-Apr-18,300.93,300.74,308.98,299.66,7.48M
10-Apr-18,304.7,298.97,307.1,293.68,11.02M
09-Apr-18,289.66,300.37,309.5,289.21,10.25M
06-Apr-18,299.3,301,309.28,295.5,13.52M
05-Apr-18,305.72,289.34,306.26,288.2,19.12M
04-Apr-18,286.94,252.78,288.37,252,19.90M
03-Apr-18,267.53,269.82,273.35,254.49,18.84M
02-Apr-18,252.48,256.26,260.33,244.59,16.11M
29-Mar-18,266.13,256.49,270.96,248.21,15.17M
28-Mar-18,257.78,264.58,268.68,252.1,21.00M
27-Mar-18,279.18,304,304.27,277.18,13.87M
26-Mar-18,304.18,307.34,307.59,291.36,8.38M
23-Mar-18,301.54,311.25,311.61,300.45,6.65M
22-Mar-18,309.1,313.89,318.82,308.18,4.94M
21-Mar-18,316.53,310.25,322.44,310.19,5.96M
20-Mar-18,310.55,314.87,316.25,308.76,4.76M
19-Mar-18,313.56,316.5,320.75,309.67,7.48M
16-Mar-18,321.35,325.96,327.4,319.07,6.12M
15-Mar-18,325.6,329.38,332.85,321.1,6.56M
14-Mar-18,326.63,336.76,339.81,323.93,7.97M
13-Mar-18,341.84,344.92,345.12,336.26,5.97M
12-Mar-18,345.51,328.61,347.21,326.5,8.26M
09-Mar-18,327.17,324.1,328.49,322.37,5.51M
08-Mar-18,329.1,332.86,333.3,326.27,3.57M
07-Mar-18,332.3,325.44,332.5,321.74,5.01M
06-Mar-18,328.2,333.75,336.37,327.03,4.29M
05-Mar-18,333.35,332.39,337.75,329.29,3.82M
02-Mar-18,335.12,326.98,335.22,322.97,5.09M
01-Mar-18,330.93,345.01,348.67,330.07,6.89M
28-Feb-18,343.06,352.57,355.24,342.22,6.07M
27-Feb-18,350.99,356.25,359.99,350.01,4.80M
26-Feb-18,357.42,353.5,359,352.36,4.34M
23-Feb-18,352.05,347.83,354.99,347.1,5.82M
22-Feb-18,346.17,335.53,347.44,334.75,6.97M
21-Feb-18,333.3,336.03,339.69,333.17,3.22M
20-Feb-18,334.77,334.47,340.84,331.5,4.01M
16-Feb-18,335.49,332.5,343.12,331.64,5.64M
15-Feb-18,334.06,324.5,334.12,322.4,5.91M
14-Feb-18,322.31,320.84,326.17,318.52,3.95M
13-Feb-18,323.66,315.02,324.19,312.51,4.56M
12-Feb-18,315.73,316.13,318.08,306.25,6.23M
09-Feb-18,310.42,319.93,320.98,294.76,12.93M
08-Feb-18,315.23,343.31,348.62,314.6,10.31M
07-Feb-18,345,338.99,346,335.66,6.97M
06-Feb-18,333.97,325.21,336.22,323.5,5.09M
05-Feb-18,333.13,337.97,344.47,333,4.46M
02-Feb-18,343.75,348.44,351.95,340.51,3.70M
01-Feb-18,349.25,351,359.66,348.63,4.20M
31-Jan-18,354.31,347.51,356.19,345.19,6.21M
30-Jan-18,345.82,345.14,348.27,342.17,4.72M
29-Jan-18,349.53,339.85,350.85,338.28,4.75M
26-Jan-18,342.85,341.5,344,335.71,4.54M
25-Jan-18,337.64,348.27,349.2,336.4,6.74M
24-Jan-18,345.89,354.58,354.75,343.52,5.29M
23-Jan-18,352.79,360,360.5,351,5.47M
22-Jan-18,351.56,349.4,357.83,349.2,6.21M
