CIPLA,GAIL,HDFC,INFY,ITC,M&M,MARUTI,RELIANCE,TCS,TITAN,DHFL,IDBI,PNB,VOLTAS,SUNTV,TATA POWER,NBCC,MRPL,IGL,RELINFRA,SUZLON,RAYMOND,PVR,ASHOKA,BAJAJELEC,VENKEYS,CENTURYPLY,BOMDYEING,LEMONTREE,SONATSOFTW
548.05,390.35,1647.7,972.05,337.15,1375.55,7557.25,1533.75,2397.45,533.65,443.05,57.15,153.65,482.85,830.95,82.95,210.3,125.4,1121.85,519.4,18.9,792.25,1403.2,190.95,339.1,2159.7,283.15,86.55,70.1,160.7
556.5,386.15,1652.35,984.05,325.15,1384.6,7522.3,1551.75,2395.45,533.75,456.15,58.05,152.9,483.8,831.95,83.4,211.3,123.1,1145.3,516.35,18.85,800.2,1381.95,188.5,336.8,2016,293.5,86.15,71.2,164.35
559.75,379.05,1653,985.6,284.55,1380.15,7549.35,1519.9,2408.35,527.75,459.75,57.85,154.85,485.55,827.5,82.45,209.6,123.25,1128.6,514.35,18.3,794.3,1382,187,332,2010.65,292.15,85,76.5,161.25
568.25,379.35,1654.85,979.85,291.45,1382.4,7561.5,1532.95,2449.6,533.05,469.25,58,158.3,493.75,836.6,82.95,210.8,130.65,1134.1,516.25,18.45,795.5,1387.15,189.7,333.1,2037.65,288.6,88.35,75.15,161.05
571.9,379.15,1651,969.45,289.5,1393.45,7490.95,1528.9,2444.7,529.8,477.6,58.45,156.75,490.9,825.75,82.9,215.85,126,1124.8,519.6,18.5,807.55,1385.8,187.1,335.4,2058.15,286.2,88.7,75.3,160.85
566.2,377,1640.95,980.1,288.9,1386.05,7543,1585,2491.2,543.2,458.75,59.15,158.25,499.7,806.3,83.35,215.6,126.6,1146.2,511.3,19.15,800.8,1367.5,188.05,336.85,2028,286.8,87.6,75.5,161.55
569.75,377,1632.25,990.55,293.25,1388.95,7554.55,1615.25,2530.7,538.15,455.9,60.7,161.3,502.3,810.6,83.25,215.1,119.55,1135.9,506.75,18.95,808.85,1369.4,184.8,338.45,2019.95,285.25,85.9,76.3,162.8
564.4,373.35,1632.05,993.85,291.4,1389.8,7504.85,1602.15,2571.5,536.15,462.55,61.75,162.95,504.15,813.5,83,209.15,122.8,1124.4,507.45,18.9,806.9,1381.7,185,336.05,2131.5,286.95,86.35,76.45,163.15
575.45,375.65,1633.45,994.05,293.65,1413.5,7565.25,1622.75,2556,537.9,458.75,62.2,158.9,499.05,804.35,82.55,210.7,121.05,1131.8,509.5,19.1,803.8,1354.4,181.95,340.65,2173.7,299.05,85.6,74.15,162.9
568.7,378.7,1728.2,971.05,288.55,1398.2,7599.6,1594.8,2481.7,527.45,449.75,59.45,154.15,515.9,794.65,82,208.5,121.8,1177,508.55,20,786.95,1330.3,183.95,339.15,2090.95,299.1,83.3,74.95,167.95
566.1,379.95,1785.35,997.35,291.55,1392.2,7630.45,1594.45,2484.3,533.15,460.4,59.25,158.85,510.8,797.1,82.15,211.45,124.15,1190.65,526,19.2,786.25,1340,184.3,335.7,2132.05,299.65,83.3,75.25,166.5
560.1,376.75,1789.25,1011.2,285.25,1403.3,7750.05,1615.2,2491.8,544.25,456.75,59.45,162.3,504.25,780.35,82,209.5,124.25,1179.1,528.65,18.95,791.75,1340.55,185.55,327.7,2114.9,295.2,83.6,73.45,166.75
562.45,373.85,1779.1,1005.55,287.85,1429.25,7856.1,1603.6,2501.65,539.35,465.95,59.65,157.5,533.65,782.45,82.8,211.9,128.85,1189.95,526.6,18.9,789.3,1375.1,179.95,323.05,2125.45,280.45,83.15,73.05,167.95
568.55,369.9,1766.4,993.35,285.45,1414.6,7795.5,1629.2,2473.8,552.8,460.8,59.25,158.95,542.35,798.5,82.6,215,128.05,1176.9,532.35,18.45,776.7,1377.65,185.4,329,2125.35,283.85,82.15,72.75,168.4
557.15,370.55,1736.75,984,281.4,1416.5,7737.4,1650.1,2489.45,558.05,450.85,56.65,149.3,538.3,796.5,82.65,217.1,128,1184.45,526.25,17.75,763.6,1374.05,179.65,328.25,2052.4,274.6,79.4,74.1,161.9
