,Date,Month,Year,Close Price,Open Price,High Price,Low Price,Total Traded Quantity,Day_Perc_Change,Trend
154,18/03/2019,3,2019,269.49,276,278.05,267.3,10.28,0.755224885,Slight positive
155,15/03/2019,3,2019,275.43,283.51,283.72,274.4,14.79,2.20416342,Positive
156,14/03/2019,3,2019,289.96,292.45,295.39,288.29,7.1,5.275387576,Among top gainers
157,13/03/2019,3,2019,288.96,283.9,291.99,282.7,6.84,-0.344875155,No change
158,12/03/2019,3,2019,283.36,286.49,288.07,281.06,7.5,-1.937984496,Negative
159,11/03/2019,3,2019,290.92,283.52,291.28,280.5,7.39,2.66798419,Positive
160,08/03/2019,3,2019,284.14,276.91,285.59,275.89,8.82,-2.330537605,Negative
161,07/03/2019,3,2019,276.59,278.84,284.7,274.25,9.44,-2.657140846,Negative
162,06/03/2019,3,2019,276.24,276.48,281.51,274.39,10.34,-0.12654109,No change
163,05/03/2019,3,2019,276.54,282,284,270.1,18.76,0.108601216,No change
164,04/03/2019,3,2019,285.36,298.12,299,282.78,17.1,3.18941202,Among top gainers
165,01/03/2019,3,2019,294.79,306.94,307.13,291.9,22.91,3.304597701,Among top gainers
166,28/02/2019,2,2019,319.88,318.92,320,310.81,10.52,8.511143526,Bull run
167,27/02/2019,2,2019,314.74,301.78,316.3,300.55,11.18,-1.60685257,Negative
168,26/02/2019,2,2019,297.86,292.22,302.01,288.77,8.58,-5.363156891,Among top losers
169,25/02/2019,2,2019,298.77,297.91,302.9,297,6.63,0.305512657,No change
170,22/02/2019,2,2019,294.71,294.49,296.5,292.1,5.74,-1.358904843,Negative
171,21/02/2019,2,2019,291.23,301.81,303.24,290.5,8.91,-1.180821825,Negative
172,20/02/2019,2,2019,302.56,304.41,306.3,299,7.14,3.890395907,Among top gainers
173,19/02/2019,2,2019,305.64,306.56,311.54,305.47,4.17,1.017979905,Positive
174,15/02/2019,2,2019,307.88,304.5,308,303.9,3.9,0.732888365,Slight positive
175,14/02/2019,2,2019,303.77,303.38,306.77,301,5.2,-1.334935689,Negative
176,13/02/2019,2,2019,308.17,312.35,312.75,305.57,5.14,1.448464299,Positive
177,12/02/2019,2,2019,311.81,316.2,318.19,309.62,5.52,1.181166239,Positive
178,11/02/2019,2,2019,312.84,311.6,318.6,310.5,7.13,0.330329367,No change
179,08/02/2019,2,2019,305.8,306.83,307.44,298.5,5.84,-2.250351617,Negative
180,07/02/2019,2,2019,307.51,313.3,314.7,303,6.52,0.559189012,Slight positive
181,06/02/2019,2,2019,317.22,319.59,324.24,315.62,5.04,3.15762089,Among top gainers
182,05/02/2019,2,2019,321.35,312.49,322.44,312.25,6.74,1.301935565,Positive
183,04/02/2019,2,2019,312.89,312.98,315.3,301.88,7.35,-2.632643535,Negative
184,01/02/2019,2,2019,312.21,305.42,316.1,303.5,7.28,-0.217328774,No change
185,31/01/2019,1,2019,307.02,301,311.56,294,12.57,-1.662342654,Negative
186,30/01/2019,1,2019,308.77,300.45,309,298.49,11.25,0.56999544,Slight positive
187,29/01/2019,1,2019,297.46,295.27,298.56,291.8,4.62,-3.662920621,Among top losers
188,28/01/2019,1,2019,296.38,292.91,297.46,287.75,6.42,-0.363074027,No change
189,25/01/2019,1,2019,297.04,294.39,298.52,289.55,7.26,0.222687091,No change
190,24/01/2019,1,2019,291.51,283.03,293.68,279.28,8.01,-1.861702128,Negative
191,23/01/2019,1,2019,287.59,292.5,294.5,281.69,12.53,-1.344722308,Negative
192,22/01/2019,1,2019,298.92,304.82,308,295.5,12.07,3.939636288,Among top gainers
193,18/01/2019,1,2019,302.26,323,327.13,299.73,24.15,1.117355814,Positive
194,17/01/2019,1,2019,347.31,346.21,351.5,344.15,3.68,14.90438695,Bull run
195,16/01/2019,1,2019,346.05,344.78,352,343.5,4.69,-0.362788287,No change
196,15/01/2019,1,2019,344.43,335,348.8,334.5,6.06,-0.468140442,No change
197,14/01/2019,1,2019,334.4,342.38,342.5,334,5.25,-2.912057602,Negative
198,11/01/2019,1,2019,347.26,342.09,348.41,338.77,5.04,3.84569378,Among top gainers
199,10/01/2019,1,2019,344.97,334.4,345.39,331.79,6.06,-0.659448252,Slight negative
200,09/01/2019,1,2019,338.53,335.5,343.5,331.47,5.43,-1.866829,Negative
201,08/01/2019,1,2019,335.35,341.96,344.01,327.02,7.01,-0.939355449,Slight negative
202,07/01/2019,1,2019,334.96,321.72,336.74,317.75,7.55,-0.116296407,No change
203,04/01/2019,1,2019,317.69,306,318,302.73,7.39,-5.155839503,Among top losers
204,03/01/2019,1,2019,300.36,307,309.4,297.38,6.97,-5.455003305,Among top losers
205,02/01/2019,1,2019,310.12,306.1,315.13,298.8,11.66,3.249434013,Among top gainers
206,31/12/2018,12,2018,332.8,337.79,339.21,325.26,6.3,7.313298078,Bull run
207,28/12/2018,12,2018,333.87,323.1,336.24,318.41,9.94,0.321514423,No change
208,27/12/2018,12,2018,316.13,319.84,322.17,301.5,8.58,-5.313445353,Among top losers
209,26/12/2018,12,2018,326.09,300,326.97,294.09,8.16,3.1506026,Among top gainers
210,24/12/2018,12,2018,295.39,313.5,314.5,295.19,5.56,-9.414578797,Bear drop
211,21/12/2018,12,2018,319.77,317.4,323.47,312.44,8.02,8.253495379,Bull run
212,20/12/2018,12,2018,315.38,327.05,330.29,311.87,9.07,-1.372861744,Negative
213,19/12/2018,12,2018,332.97,337.6,347.01,329.74,8.27,5.577398694,Among top gainers
214,18/12/2018,12,2018,337.03,350.54,351.55,333.69,7.1,1.219329069,Positive
